No.,Category,Username,Prompt Title,Prompt Text
1,image,@rohitauji,Cyberpunk Dragon (Stable Diffusion),"Kyoto Animation stylized anime mixed with traditional Chinese artworks~ A dragon flying at modern cyberpunk fantasy world. Cinematic Lighting, ethereal light, intricate details, extremely detailed, full colored, complex details, insanely detailed and intricate, hypermaximalist, rich colors. masterpiece, best quality, aerial view, HDR, UHD, unreal engine. dark Fantasy background, glittery jewelry, fair skin, beautiful face, high quality, gorgeous, glamorous, 8k, super detail, gorgeous light and shadow, detailed decoration, detailed lines"
2,image,@arthatsingh,Paparazzi Portrait (Stable Diffusion),"Paparazzi-style extreme close-up photo of a woman with striking facial features, caught off-guard while turning toward the camera. Face and shoulders only, shot from a low angle. Strong harsh on-camera flash, grainy high-ISO, raw candid street-photography feel. Background shows a crowded scene with motion blur (Paris Fashion Week atmosphere). Ultra-realistic, cinematic realism, high detail skin texture, slight lens distortion. 35mm paparazzi lens f/2.8, flash blown highlights, 2000s tabloid photo aesthetic, sharp focus on face, background heavily blurred."
3,image,@godzilla,Porsche 911 in Flowers (Hero),"extremely low shot of a forest green porche 911 in a field of flowers, add sakura petals in the foreground, the car away from the camera showing the entire front car body, the left side of the car body can also be seen, cinematic photography, shot on canon, ultra realistic --ar 9:16"
4,image,@monurathore,Ant Animation (Hero),An animation of several ants working together to defeat a giant villain in a flower.
5,image,@sajalsharma,Futuristic Cyborg Boy (Hero),"futuristic cyborg boy featuring a captivating reflective cybernetic helmet adorned with glowing triangular red neon lights, forming a halo around the head. Angular armor with sharp edges and intricate details suggesting advanced technology. Clear visor showing the eyes. Moody atmospheric lighting with deep shadows, cyberpunk art style, bold dramatic red and black palette, sleek and modern, cinematic and futuristic, dark background with two red sinuous energy lines curving outward and upward."
6,image,@ffcaballero,Desert Scout (Hero),"A lone desert scout riding a robotic reptile-like pack mount up a rocky slope under a wide open sky, low-angle vertical composition, quiet cinematic tension, sun-baked sci-fi frontier atmosphere. Rider in layered desert travel gear: wrapped scarf, sleeveless tactical vest, harness straps, cargo trousers, gloves, rugged boots, rifle along the back. Mechanical mount with elongated neck, sensor-like lens eye, segmented armor plates, teal panels, orange plating, weathered metal. Hard overhead desert sunlight, sharp shadows, clean blue sky, cinematic poster framing, strong silhouette."
7,image,@chorlo,Cristiano Ronaldo VHS 1996 (ChatGPT Image),Image of Cristiano Ronaldo from a VHS camcorder recorder in a highschool in Feb of 1996. Same grain and overall film quality of cameras and vhs of the time period.
8,image,@chorlo,Kneeling Knight (ChatGPT Image),"Create an image of a large and powerful knight kneeling on his right knee and stabbing his sword into the ground with his hands. The knight armor is as bright as silver but worn. The knight head is bowed. The knight is in an open area. Weather overcast, lightly raining and foggy. Use a cinema effect. Make it look like a movie frame, not like an AI product."
9,image,@chorlo,Ink-Wash Flaming Tiger (ChatGPT Image),"Chinese ink wash art style, a ferocious tiger with flames engulfing its form, lunging toward the viewer, glowing eyes, bared fangs, golden claws, swirling smoke and flame effects, subtle red and gold cloud patterns, dark moody background, bold brush strokes, dramatic lighting, high contrast, vibrant fiery colors, ultra-detailed, cinematic composition, phone wallpaper, vertical."
10,image,@chorlo,Surreal Plasticine Editorial (ChatGPT Image),"surreal editorial composition, hyperrealistic human mixed with handmade plasticine sculptures, tactile clay textures, weird art-school energy, black studio background, a creative student at a computer surrounded by floating symbolic objects of knowledge and creativity, oversized sculptural head, melting keyboard, strange books with faces, smiling sun with human features, handcrafted clay aesthetic with realistic skin and cinematic lighting, muted pastel palette pink lavender cream pale green peach, mixed media sculpture, museum installation mood, ultra detailed."
